"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"277","Shoong! (feat. LISA of BLACKPINK)","TAEYANG, Lisa",2,2023,4,25,351,9,"76910644",16,90,"10",0,"64",110,"B","Minor",76,26,70,1,0,41,6,"https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328"
"167","Every Breath You Take - Remastered 2003","The Police",1,1983,1,6,22439,19,"1593270737",211,74,"929",0,"129",117,"C#","Major",82,73,45,54,0,7,3,"https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014"
"103","Chemical","Post Malone",1,2023,4,14,2528,39,"172825906",56,91,"59",3,"486",170,"D","Major",50,37,90,0,0,12,5,"https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c"
"358","Thought You Should Know","Morgan Wallen",1,2022,5,6,968,4,"203221468",16,53,"1",0,"61",140,"F#","Major",53,51,70,49,0,14,3,"https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9"
"304","10:35","Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,"325592432",190,104,"147",18,"63",120,"G#","Major",70,70,79,7,0,18,10,"Not Found"
"776","La Corriente","Tony Dize, Bad Bunny",2,2022,5,6,1796,8,"479655659",8,25,"18",1,"0",196,"B","Minor",66,58,79,23,0,22,20,"Not Found"
"903","Bound 2","Kanye West",1,2013,1,1,19806,7,"703301727",33,11,"274",0,"0",149,"C#","Major",37,28,66,14,0,9,5,"https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9"
"229","Hummingbird (Metro Boomin & James Blake)","James Blake, Metro Boomin",2,2023,6,2,277,1,"39666245",1,20,"5",0,"1",81,"F#","Major",59,26,60,46,1,25,13,"https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f"
"477","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,0,"295998468",89,39,"158",0,"0",113,"G","Major",73,72,32,77,0,15,5,"Not Found"
"539","Donï¿½ï¿½ï¿½t Break My","The Weeknd",1,2022,1,7,1184,0,"63803529",1,5,"6",0,"0",122,"A#","Major",77,25,62,34,0,23,3,"Not Found"
