"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"856","Crazy What Love Can Do","David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,"286739476",139,73,"142",0,"5",123,"E","Minor",60,46,71,3,0,16,4,"https://i.scdn.co/image/ab67616d0000b273ef4ed3c74eb9eac3754b60d2"
"279","DESPECHï¿","ROSALï¿½",1,2022,7,28,7613,33,"782369383",180,90,"422",15,"55",130,"G","Major",92,78,62,18,0,6,10,"Not Found"
"905","Talk that Talk","TWICE",1,2022,8,26,615,0,"189476119",14,77,"15",1,"2",120,"D#","Minor",77,78,91,14,0,33,12,"https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340"
"529","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,"775542072",61,65,"53",6,"0",170,"E","Minor",64,14,70,9,0,9,8,"https://i.scdn.co/image/ab67616d0000b273abe9c2b5f03653d6b87696e6"
"108","Dandelions","Ruth B.",1,2017,4,28,3423,21,"1116995633",41,100,"59",1,"32",117,"C#","Major",61,45,69,2,0,9,3,"https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707"
"585","Mood (feat. Iann Dior)","24kgoldn, Iann Dior",2,2020,7,24,12854,0,"1699402402",237,27,"636",0,"",91,"G","Minor",70,76,72,22,0,27,4,"https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5"
"270","Double Fantasy (with Future)","The Weeknd, Future",2,2023,4,21,1169,0,"96180277",36,65,"28",0,"0",119,"A","Minor",60,10,57,1,0,50,3,"https://i.scdn.co/image/ab67616d0000b273c7d6fe09dfe4af1580e59705"
"169","We Found Love","Rihanna, Calvin Harris",2,2011,1,1,36843,21,"1235005533",321,91,"4,607",1,"58",128,"C#","Major",73,60,77,3,0,11,4,"https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46"
"583","thought i was playing","21 Savage, Gunna",2,2022,1,7,807,0,"60680939",3,0,"5",0,"0",148,"C#","Major",68,29,73,0,0,7,7,"Not Found"
"38","Blank Space","Taylor Swift",1,2014,1,1,11434,53,"1355959075",154,123,"410",2,"81",96,"F","Major",75,57,68,9,0,13,6,"https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148"
"316","If We Ever Broke Up","Mae Stephens",1,2023,2,10,2040,4,"165584767",81,27,"66",9,"444",116,"G","Major",90,96,73,62,0,9,4,"https://i.scdn.co/image/ab67616d0000b273918207ec2316cec13a0e036f"
"743","Vampiro","Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,"187772591",26,3,"39",0,"0",115,"G#","Minor",78,63,64,1,0,7,4,"Not Found"
"157","Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage",2,2022,6,17,5871,27,"618885532",81,121,"58",1,"34",163,"","Major",54,40,67,0,0,9,17,"https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37"
"523","Surface Pressure","Jessica Darrow",1,2021,11,19,1756,0,"267758538",38,48,"20",0,"0",180,"D","Major",65,37,58,2,0,4,31,"https://i.scdn.co/image/ab67616d0000b273e1ac646ed6f25125e2a77229"
"190","Take Me To Church","Hozier",1,2013,9,13,23804,31,"2135158446",187,99,"4,623",1,"0",129,"E","Minor",57,41,66,63,0,12,5,"https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2"
"826","Flowers","Lauren Spencer Smith",1,2021,8,9,801,0,"184826429",42,9,"24",1,"1",138,"D#","Major",70,31,44,84,0,9,39,"https://i.scdn.co/image/ab67616d0000b273295d21d0987dcc3d88b4e993"
