"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"456","Seek & Destroy","SZA",1,2022,12,9,1007,0,"98709329",5,31,"1",0,"0",152,"C#","Major",65,35,65,44,18,21,7,"https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1"
"718","Bohemian Rhapsody - Remastered 2011","Queen",1,1975,10,31,40112,3,"2197010679",321,162,"5,691",8,"17",71,"","Minor",41,23,40,27,0,30,5,"https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a"
"561","Life Goes On","Oliver Tree",1,2020,7,17,2868,0,"501541661",43,15,"116",0,"",80,"","Major",70,57,49,19,0,12,8,"https://i.scdn.co/image/ab67616d0000b2731c5a484110522f2b9c7038cc"
"301","REMIX EXCLUSIVO","Feid",1,2023,3,17,1235,9,"117206995",20,8,"15",0,"6",87,"F","Minor",65,71,56,4,0,15,20,"https://i.scdn.co/image/ab67616d0000b273adf20f92c3153248fd7aac9e"
"817","FEARLESS","LE SSERAFIM",1,2022,5,2,629,0,"229497852",18,75,"9",0,"0",104,"G","Major",86,43,62,5,0,13,14,"https://i.scdn.co/image/ab67616d0000b2739030184114911536d5f77555"
"134","Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,"721975598",119,108,"254",29,"22",122,"D","Minor",78,50,63,27,0,9,5,"Not Found"
"331","Low","SZA",1,2022,12,9,1911,0,"272377463",23,71,"14",0,"9",145,"","Minor",70,34,55,43,0,16,6,"https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1"
"723","Monï¿½ï¿½y so","YEAT",1,2021,9,10,1473,0,"263779030",2,0,"12",0,"10",138,"D","Major",69,35,57,12,0,10,9,"Not Found"
"73","golden hour","JVKE",1,2022,7,15,4511,36,"751134527",70,58,"109",18,"230",94,"C#","Minor",51,14,59,65,18,25,3,"https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954"
"36","Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,"123122413",22,33,"34",7,"184",120,"","Major",81,63,68,11,0,11,4,"Not Found"
"485","Smoking on my Ex Pack","SZA",1,2022,12,9,811,0,"57144458",6,11,"3",0,"0",81,"G#","Major",47,33,68,24,0,22,38,"https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1"
"811","TUS Lï¿½ï¿½GR","Sech, Mora",2,2022,4,1,1308,2,"184622518",23,16,"9",0,"5",174,"C#","Major",68,45,71,18,0,11,25,"Not Found"
