"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"875","Sticky","Drake",1,2022,6,17,2814,0,"191448892",38,105,"25",0,"2",137,"A#","Minor",88,8,49,9,0,9,14,"https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37"
"86","El Merengue","Marshmello, Manuel Turizo",2,2023,3,3,2114,44,"223633238",80,75,"110",11,"323",124,"G#","Minor",78,70,68,3,1,11,4,"https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f"
"233","Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga",2,2023,6,5,215,6,"51985779",6,14,"8",2,"4",84,"A","Minor",43,14,74,1,0,19,8,"https://i.scdn.co/image/ab67616d0000b273f19310c007c0fad365b0542e"
"362","I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat",2,2022,6,3,5281,14,"609293408",94,21,"80",15,"38",101,"F","Major",74,43,69,12,0,12,7,"https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97"
"243","Just Wanna Rock","Lil Uzi Vert",1,2022,10,17,3995,13,"457184829",72,27,"47",0,"0",150,"B","Major",49,4,55,7,0,6,3,"https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f"
"881","Baile no Morro","Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,"129314708",17,0,"24",0,"30",130,"D#","Minor",71,78,40,46,0,7,45,"https://i.scdn.co/image/ab67616d0000b27352cf91ed2a3ed757c6faaa8a"
"18","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",1,2023,7,13,873,104,"30546883",80,227,"95",24,"1,173",78,"","Major",44,14,9,96,0,10,3,"Not Found"
"554","Tacones Rojos","Sebastian Yatra",1,2021,10,22,3047,9,"510876816",77,31,"85",5,"28",123,"B","Minor",75,93,86,8,0,14,3,"https://i.scdn.co/image/ab67616d0000b2739f6800546cfaaacb3fa4b145"
"17","Cupid - Twin Ver.","Fifty Fifty",1,2023,2,24,2942,77,"496795686",91,212,"78",6,"0",120,"B","Minor",78,76,59,43,0,34,3,"https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb"
"335","One Thing At A Time","Morgan Wallen",1,2022,12,2,811,4,"148469433",11,58,"5",0,"21",142,"G","Major",61,92,91,0,0,26,3,"https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9"
"213","Piï¿½ï¿½man Deï¿","Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,"43522589",5,6,"4",1,"33",98,"A#","Minor",73,45,62,28,0,13,13,"Not Found"
"197","Es un Secreto","Plan B",1,2010,7,20,492,36,"540654286",4,3,"19",0,"0",95,"F#","Minor",84,52,77,12,0,7,4,"https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b"
"685","Alien Blues","Vundabar",1,2015,7,24,1930,0,"370068639",3,0,"28",0,"1",82,"D#","Major",47,44,76,8,91,9,3,"https://i.scdn.co/image/ab67616d0000b273578b0e6109b76bad0821ca71"
"589","happier","Olivia Rodrigo",1,2021,5,21,3069,4,"850608354",25,46,"105",0,"45",169,"F#","Major",39,36,45,81,0,8,13,"https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a"
"23","I Wanna Be Yours","Arctic Monkeys",1,2013,1,1,12859,110,"1297026226",24,98,"582",2,"73",135,"","Minor",48,44,42,12,2,11,3,"https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163"
"336","Miss You","Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,"497225336",108,16,"197",3,"165",145,"F#","Minor",59,20,74,1,0,15,5,"Not Found"
"182","Fin de Semana","Oscar Maydon, Junior H",2,2023,1,13,592,14,"307370144",11,84,"6",1,"30",98,"","Major",70,37,54,6,0,9,8,"https://i.scdn.co/image/ab67616d0000b2739b7e1ea3815a172019bc5e56"
"824","This Love (Taylorï¿½ï¿½ï¿½s Ve","Taylor Swift",1,2022,5,6,1492,0,"132171975",26,2,"15",0,"2",144,"E","Major",47,7,50,32,0,7,4,"Not Found"
"663","Notion","The Rare Occasions",1,2016,8,5,2393,0,"421135627",22,13,"65",0,"6",160,"A","Major",31,30,88,7,0,8,8,"https://i.scdn.co/image/ab67616d0000b273598721fc8c9dde3f65a73a08"
"189","Just The Way You Are","Bruno Mars",1,2010,1,1,21106,13,"1641426668",82,0,"2,946",0,"0",109,"F","Major",63,46,85,1,0,9,5,"https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b"
"266","Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe","sped up 8282",1,1997,1,1,472,2,"103762518",0,0,"6",0,"0",144,"F","Major",74,75,73,42,0,9,4,"Not Found"
"256","Curtains","Ed Sheeran",1,2023,5,5,715,0,"39893489",37,3,"27",0,"50",176,"F#","Minor",50,44,76,10,0,32,5,"https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796"
"130","Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,"66902503",25,59,"32",5,"88",128,"B","Major",78,59,65,10,0,26,5,"Not Found"
"803","Auntie Diaries","Kendrick Lamar",1,2022,5,13,1545,0,"37778188",1,0,"4",0,"0",78,"G","Major",43,60,38,76,1,48,38,"https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f"
"791","Callaita","Bad Bunny, Tainy",2,2019,5,31,9539,15,"1304313953",162,116,"355",7,"0",176,"D","Major",61,24,62,60,0,24,31,"https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5"
"235","Niï¿½ï¿½a Bo","Sean Paul, Feid",2,2023,4,21,1305,34,"115010040",29,26,"43",5,"44",91,"G","Major",82,47,62,10,0,10,15,"Not Found"
"423","Yonaguni","Bad Bunny",1,2021,6,4,9644,28,"1260594497",120,86,"164",4,"0",180,"C#","Major",64,44,65,28,0,14,12,"https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9"
"158","Counting Stars","OneRepublic",1,2013,1,1,29215,43,"2011464183",179,97,"3,394",11,"153",122,"C#","Minor",66,48,71,6,0,12,4,"https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb"
"96","All My Life (feat. J. Cole)","J. Cole, Lil Durk",2,2023,5,12,2175,23,"144565150",69,145,"69",2,"478",143,"D#","Major",83,69,44,15,0,10,33,"Not Found"
"95","Still With You","Jung Kook",1,2020,6,5,31,39,"38411956",2,107,"8",0,"0",88,"C#","Minor",53,34,47,9,0,83,4,"https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d"
"679","212","Mainstreet, Chefin",2,2022,1,15,352,0,"143139338",10,0,"39",0,"0",154,"D","Minor",79,86,52,66,0,9,7,"Not Found"
"777","Count Me Out","Kendrick Lamar",1,2022,5,13,2729,0,"126191104",3,7,"13",0,"1",134,"G","Major",78,51,43,69,0,14,9,"https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f"
"373","About Damn Time","Lizzo",1,2022,7,15,2332,2,"723894473",0,0,"25",0,"0",109,"A#","Minor",84,72,74,10,0,34,7,"https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04"
"671","Down Under (feat. Colin Hay)","Luude, Colin Hay",2,2021,11,19,3541,2,"252871192",57,13,"50",1,"7",172,"B","Minor",31,4,86,1,0,28,17,"https://i.scdn.co/image/ab67616d0000b273aad205f4a52b5c988d86c25f"
"463","Do They Know It's Christmas? - 1984 Version","Band Aid",1,1984,11,25,14169,0,"481697415",209,30,"449",0,"0",115,"","Major",60,23,57,0,2,27,3,"https://i.scdn.co/image/ab67616d0000b273d549b09f0264901929eaa6e8"
"716","this is what falling in love feels like","JVKE",1,2021,9,3,2005,0,"346127840",16,5,"43",0,"7",129,"B","Major",42,33,44,62,0,8,6,"https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954"
"337","Ainï¿½ï¿½ï¿½t Tha","Morgan Wallen",1,2023,3,3,356,4,"88791109",4,20,"0",0,"0",121,"F#","Minor",64,67,80,0,0,36,3,"Not Found"
"783","Otro Atardecer","Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,"319546754",10,30,"13",0,"33",108,"D","Major",78,55,60,59,0,7,4,"Not Found"
"886","Si Te La Encuentras Por Ahï¿","Feid",1,2022,8,5,1379,4,"179061440",23,10,"18",0,"0",172,"G#","Minor",74,46,58,15,0,13,8,"https://i.scdn.co/image/ab67616d0000b273b47e7b6440836be413b84c34"
"913","Talk","YEAT",1,2022,9,2,920,0,"148461629",10,1,"8",0,"0",140,"E","Minor",70,26,76,8,0,54,23,"https://i.scdn.co/image/ab67616d0000b2737aee5b36a3a60ca926bc429b"
"787","Un Verano Sin Ti","Bad Bunny",1,2022,5,6,1004,1,"283332261",8,12,"9",0,"0",188,"F","Minor",50,41,50,69,0,12,6,"https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72"
"126","Feliz Cumpleaï¿½ï¿½os Fe","Feid",1,2022,8,19,3430,38,"601863821",45,69,"52",4,"3",95,"F","Major",87,57,55,10,0,29,7,"Not Found"
"451","Underneath the Tree","Kelly Clarkson",1,2013,10,25,6596,0,"485285717",144,99,"251",0,"0",160,"G#","Major",51,69,81,0,0,21,5,"https://i.scdn.co/image/ab67616d0000b273f54a315f1d2445791fe601a7"
"541","Entre Nosotros (Remix) [con Nicki Nicole]","Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,"236940480",32,0,"12",0,"0",170,"F","Minor",70,61,44,40,0,37,4,"Not Found"
